Category,Description,Категория,Ингредиенты,Описание,"Килокалории, kcal ","Белки","Углеводы","Жиры","Зола","Влага","Клетчатка","Холестерин, mg","Марганец, mg","Селен, mkg","Сахар общее","Тиамин, mg","Major Minerals.Calcium, mg","Major Minerals.Copper, mg","Major Minerals.Iron, mg","Major Minerals.Magnesium, mg","Major Minerals.Phosphorus, mg","Major Minerals.Potassium, mg","Major Minerals.Sodium, mg","Major Minerals.Zinc, mg","Vitamin A - IU, mkg","Vitamin A - RAE, mkg","Vitamin B12, mkg","Vitamin B6, mkg","Vitamin C, mkg","Vitamin E, mkg","Vitamin K, mkg"
GELATINS,"GELATINS,DRY PDR,UNSWTND",Зелень и специи,Желатин,"Сухой Порошок, Несладкий",335,85.6,0.0,0.1,1.3,13.0,0.0,0,0.105,39.5,0.0,0.025,55,2.161,1.11,22,39,16,196,0.14,0,0,0.0,0.007,0.0,0.0,0.0
PARSNIPS,"PARSNIPS,RAW",Зелень и специи,Пастернак,Обыкновенный,75,1.2,17.99,0.3,0.98,79.53,4.900000095,0,0.56,1.8,4.800000191,0.09,36,0.12,0.59,29,71,375,10,0.59,0,0,0.0,0.09,17.0,1.49,22.5
PARSLEY,"PARSLEY,RAW",Зелень и специи,Петрушка,Обыкновенный,36,2.97,6.33,0.79,2.2,87.71,3.299999952,0,0.16,0.1,0.850000024,0.086,138,0.149,6.2,50,58,554,56,1.07,8424,421,0.0,0.09,133.0,0.75,1640.0
ROSEMARY,"ROSEMARY,FRESH",Зелень и специи,Розмарин,Обыкновенный,131,3.31,20.7,5.86,2.35,67.77,14.10000038,0,0.96,0.0,0.0,0.036,317,0.301,6.65,91,66,668,26,0.93,2924,146,0.0,0.336,21.8,0.0,0.0
ARUGULA,"ARUGULA,RAW",Зелень и специи,Руккола,Обыкновенный,25,2.58,3.65,0.66,1.4,91.71,1.600000024,0,0.321,0.3,2.049999952,0.044,160,0.076,1.46,47,52,369,27,0.47,2373,119,0.0,0.073,15.0,0.43,108.6
SOYBEAN,"SOYBEAN,CURD CHEESE",Зелень и специи,Соя,Соевый Творог (Тофу),151,12.5,6.9,8.1,1.6,70.9,0.0,0,0.889,16.8,1.600000024,0.0,188,0.38,5.6,228,222,199,20,1.72,42,2,0.0,0.07,0.0,0.6,4.6
ASPARAGUS,"ASPARAGUS,RAW",Зелень и специи,Спаржа,Обыкновенный,20,2.2,3.88,0.12,0.58,93.22,2.099999905,0,0.158,2.3,1.879999995,0.143,24,0.189,2.14,14,52,202,2,0.54,756,38,0.0,0.091,5.6,1.13,41.6
THYME,"THYME,FRSH",Зелень и специи,Тимьян,Обыкновенный,101,5.56,24.45,1.68,3.2,65.11,14.0,0,1.719,0.0,0.0,0.048,405,0.555,17.45,160,106,609,9,1.81,4751,238,0.0,0.348,160.1,0.0,0.0
DILL WEED,"DILL WEED,FRSH",Зелень и специи,Укроп,Обыкновенный,43,3.46,7.02,1.12,2.45,85.95,2.099999905,0,1.264,0.0,0.0,0.058,208,0.146,6.59,55,66,738,61,0.91,7718,386,0.0,0.185,85.0,0.0,0.0
SPINACH,"SPINACH,RAW",Зелень и специи,Шпинат,Обыкновенный,23,2.86,3.63,0.39,1.72,91.4,2.200000048,0,0.897,1.0,0.419999987,0.078,99,0.13,2.71,79,49,558,79,0.53,9377,469,0.0,0.195,28.1,2.03,482.9
GINGER,"GINGER,GROUND",Зелень и специи,Имбирь,Молотый,347,9.12,70.79,5.95,4.77,9.38,12.5,0,26.5,38.5,3.390000105,0.046,116,0.48,11.52,184,148,1343,32,4.72,147,7,0.0,0.84,7.0,18.02,0.8																					
CORN,"CORN,SWEET,YELLOW,RAW",Крупы,Кукуруза,Обыкновенный,86,3.22,19.02,1.18,0.62,75.96,2.700000048,0,0.161,0.6,3.220000029,0.2,2,0.054,0.52,37,89,270,15,0.45,187,9,0.0,0.055,6.8,0.07,0.3
MILLET,"MILLET,RAW",Крупы,Просо,Обыкновенный,378,11.02,72.85,4.22,3.25,8.67,8.5,0,1.632,2.7,0.0,0.421,8,0.75,3.01,114,285,195,5,1.68,0,0,0.0,0.384,0.0,0.05,0.9
WHEAT,"WHEAT,SOFT WHITE",Крупы,Пшеница,Мягкая Белая,340,10.69,75.36,1.99,1.54,10.42,12.69999981,0,3.406,0.0,0.409999996,0.41,34,0.426,5.37,90,402,435,2,3.46,9,0,0.0,0.378,0.0,1.01,1.9
WHEAT,"WHEAT,SOFT RED WINTER",Крупы,Пшеница,Мягкая Красная,331,10.35,74.24,1.56,1.68,12.17,12.5,0,4.391,0.0,0.409999996,0.394,27,0.45,3.21,126,493,397,2,2.63,0,0,0.0,0.272,0.0,1.01,0.0
WHEAT,"WHEAT,HARD WHITE",Крупы,Пшеница,Твёрдая Белая,342,11.31,75.9,1.71,1.52,9.57,12.19999981,0,3.821,0.0,0.409999996,0.387,32,0.363,4.56,93,355,432,2,3.33,9,0,0.0,0.368,0.0,1.01,1.9
WHEAT,"WHEAT,HARD RED WINTER",Крупы,Пшеница,Твёрдая Красная,327,12.61,71.18,1.54,1.57,13.1,12.19999981,0,3.985,70.7,0.409999996,0.383,29,0.434,3.19,126,288,363,2,2.65,9,0,0.0,0.3,0.0,1.01,1.9
RICE,"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",Крупы,Рис,"Белый, Длиннозерный",365,7.13,79.95,0.66,0.64,11.62,1.299999952,0,1.088,15.1,0.119999997,0.576,28,0.22,4.31,25,115,115,5,1.09,0,0,0.0,0.164,0.0,0.11,0.1
RICE,"RICE,WHITE,SHORT-GRAIN,RAW",Крупы,Рис,"Белый, Круглозерный (Короткозерный)",358,6.5,79.15,0.52,0.54,13.29,2.799999952,0,1.037,15.1,0.0,0.565,3,0.21,4.23,23,95,76,1,1.1,0,0,0.0,0.171,0.0,0.0,0.0
RICE,"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",Крупы,Рис,"Белый, Среднезерный",360,6.61,79.34,0.58,0.58,12.89,1.399999976,0,1.1,15.1,0.0,0.578,9,0.11,4.36,35,108,86,1,1.16,0,0,0.0,0.145,0.0,0.11,0.0
RICE,"RICE,BROWN,LONG-GRAIN,RAW",Крупы,Рис,"Коричневый, Длиннозерный",370,7.94,77.24,2.92,1.53,10.37,3.5,0,3.743,23.4,0.850000024,0.401,23,0.277,1.47,143,333,223,7,2.02,0,0,0.0,0.509,0.0,1.2,1.9
RICE,"RICE,BROWN,MEDIUM-GRAIN,RAW",Крупы,Рис,"Коричневый, Среднезерный",362,7.5,76.17,2.68,1.27,12.37,3.400000095,0,3.743,0.0,0.0,0.413,33,0.277,1.8,143,264,268,4,2.02,0,0,0.0,0.509,0.0,0.68,0.0
SORGHUM,SORGHUM,Крупы,Сорго,Обыкновенный,339,11.3,74.63,3.3,1.57,9.2,6.300000191,0,0.0,0.0,0.0,0.237,28,0.0,4.4,0,287,350,6,0.0,0,0,0.0,0.0,0.0,0.0,0.0
SEEDS,"SEEDS,FLAXSEED",Крупы,Семена,Льна,534,18.29,28.88,42.16,3.72,6.96,27.29999924,0,2.482,25.4,1.549999952,1.644,255,1.22,5.73,392,642,813,30,4.34,0,0,0.0,0.473,0.6,0.31,4.3
